config,split,precision,recall,f1,time_ms,f1_std
base,train,0.1522361982730212,0.7300121662840046,0.2207300625190074,14.90296083308446,0.1829514577603185
best,train,0.1522361982730212,0.7300121662840046,0.2207300625190074,17.012910837850843,0.1829514577603185
base,test,0.1465834691830809,0.6158403736673391,0.202154423229381,15.486221542834716,0.1955105773931776
best,test,0.1465834691830809,0.6158403736673391,0.202154423229381,15.781123362863145,0.1955105773931776
