stage,method,description,sample,precision,recall,f1,time_ms
0,База,Карта различий + глобальная бинаризация Оцу,train_638_10.png,0.2966255709859705,0.2922191038279193,0.2944053501059037,9.986799908801911
0,База,Карта различий + глобальная бинаризация Оцу,train_638_11.png,0.2233429394708867,0.2193262734973833,0.2213158834322218,6.225900026038289
0,База,Карта различий + глобальная бинаризация Оцу,train_638_12.png,0.0643656716390618,0.7764705878381224,0.1188768702406295,7.059100084006786
0,База,Карта различий + глобальная бинаризация Оцу,train_638_14.png,0.059478661607245,0.4893364926977344,0.1060649524724844,7.922899909317493
0,База,Карта различий + глобальная бинаризация Оцу,train_638_15.png,0.3798596967467816,0.4078627660410213,0.3933629857217573,6.120700156316161
0,База,Карта различий + глобальная бинаризация Оцу,train_638_2.png,0.0300064116251333,0.1942446042627989,0.0519824406339646,8.225299883633852
0,База,Карта различий + глобальная бинаризация Оцу,train_638_3.png,0.1242577630621893,0.2856982989832477,0.1731899988023443,9.570599999278784
0,База,Карта различий + глобальная бинаризация Оцу,train_638_5.png,0.1198814940154543,0.2292362164664404,0.1574317232927116,6.449799984693527
0,База,Карта различий + глобальная бинаризация Оцу,train_638_6.png,0.3056684784951505,0.2900988382048682,0.2976797120681464,6.619000108912587
0,База,Карта различий + глобальная бинаризация Оцу,train_638_7.png,0.2472736124514472,0.2056774924999725,0.2245650964614829,9.702800074592233
0,База,Карта различий + глобальная бинаризация Оцу,train_638_8.png,0.0458205240797167,0.6323232320038771,0.0854489594390565,10.202599922195075
0,База,Карта различий + глобальная бинаризация Оцу,train_638_9.png,0.001217677816688,0.1619047603628118,0.0024171613510629,10.090300114825368
0,База,Карта различий + глобальная бинаризация Оцу,train_639_13.png,0.0060799194932248,0.2810077513933958,0.0119022774403991,10.020599933341146
0,База,Карта различий + глобальная бинаризация Оцу,train_639_14.png,0.0301671803478954,0.7193763911810953,0.0579059822593589,10.052500059828162
0,База,Карта различий + глобальная бинаризация Оцу,train_640_1.png,0.0122877044680059,0.350446427789182,0.0237428456942994,8.674200158566236
0,База,Карта различий + глобальная бинаризация Оцу,train_640_10.png,0.0208553579999588,0.3850931673601657,0.039567755924876,9.898800170049071
0,База,Карта различий + глобальная бинаризация Оцу,train_640_15.png,0.0194968905810131,0.2695584815882583,0.0363635105586439,7.731999969109893
0,База,Карта различий + глобальная бинаризация Оцу,train_640_5.png,0.017284273928799,0.2063574777455145,0.0318967562857007,7.344600046053529
0,База,Карта различий + глобальная бинаризация Оцу,train_640_6.png,0.0046420824292996,0.1222857141459591,0.0089445481294663,7.090599974617362
0,База,Карта различий + глобальная бинаризация Оцу,train_640_7.png,0.000206406869212,0.0326797383484984,0.0004102102772697,6.504799937829375
0,База,Карта различий + глобальная бинаризация Оцу,train_640_9.png,0.0124445592725985,0.9233226807561576,0.0245580974794602,6.84499996714294
0,База,Карта различий + глобальная бинаризация Оцу,train_641_12.png,0.0812636823401048,0.420261565406937,0.1361922830735271,7.109400117769837
0,База,Карта различий + глобальная бинаризация Оцу,train_641_13.png,0.1929217292884344,0.8149806025619276,0.3119891803396084,7.52690015360713
0,База,Карта различий + глобальная бинаризация Оцу,train_641_14.png,0.1753114607546874,0.4037955870122561,0.2444794006174953,9.117099922150372
0,База,Карта различий + глобальная бинаризация Оцу,train_641_15.png,0.1534676127172426,0.2849251035498857,0.1994863239251809,7.712699938565493
0,База,Карта различий + глобальная бинаризация Оцу,train_641_9.png,0.0101197140638136,0.893536118275528,0.0200127519629989,7.850900059565902
0,База,Карта различий + глобальная бинаризация Оцу,train_642_10.png,0.1293539528786907,0.6100886161196167,0.2134507010677462,8.516100002452731
0,База,Карта различий + глобальная бинаризация Оцу,train_642_11.png,0.1523142001373293,0.6719792942825256,0.2483384018948861,6.95439986884594
0,База,Карта различий + глобальная бинаризация Оцу,train_642_14.png,0.0486882975918308,0.6303294570589489,0.0903941694569747,8.416299941018224
0,База,Карта различий + глобальная бинаризация Оцу,train_642_15.png,0.0329604052943831,0.8532396558522719,0.0634689487591955,7.605700055137277
0,База,Карта различий + глобальная бинаризация Оцу,train_642_4.png,0.0387189292524512,0.7377049173609244,0.0735760701864972,4.9223999958485365
0,База,Карта различий + глобальная бинаризация Оцу,train_642_5.png,0.1376189837687613,0.6301411907212581,0.2259019944724336,13.478199951350687
0,База,Карта различий + глобальная бинаризация Оцу,train_642_6.png,0.1439493489255824,0.7779212390071522,0.2429432848051562,9.161299793049691
0,База,Карта различий + глобальная бинаризация Оцу,train_642_7.png,0.1054162487356653,0.4489534385096312,0.1707413051719395,11.665300000458956
0,База,Карта различий + глобальная бинаризация Оцу,train_642_8.png,0.1561223703355072,0.8889863971527046,0.2656001653358739,7.314400048926473
0,База,Карта различий + глобальная бинаризация Оцу,train_642_9.png,0.0233853006672213,0.6942148752134417,0.0452463684012237,7.535299984738231
0,База,Карта различий + глобальная бинаризация Оцу,train_643_3.png,0.0075444683073107,0.5169811301245996,0.014871877854671,4.992299946025014
0,База,Карта различий + глобальная бинаризация Оцу,train_643_7.png,0.0325171246332952,0.5976845143304131,0.0616785162176757,8.575899992138147
0,База,Карта различий + глобальная бинаризация Оцу,train_643_9.png,0.0179810360766662,0.5298126055710177,0.0347815726929729,6.797099951654673
0,База,Карта различий + глобальная бинаризация Оцу,train_644_0.png,0.0146485260764331,0.4601139594585271,0.0283930484909325,6.262999959290028
0,База,Карта различий + глобальная бинаризация Оцу,train_644_1.png,0.0278536858384797,0.300532859573523,0.0509821274993756,5.363099975511432
0,База,Карта различий + глобальная бинаризация Оцу,train_644_10.png,0.0203702721330236,0.3555555552263374,0.0385328361332681,9.591399924829602
0,База,Карта различий + глобальная бинаризация Оцу,train_644_11.png,0.0036188178527024,0.626582274515302,0.0071960634490524,6.117500131949782
0,База,Карта различий + глобальная бинаризация Оцу,train_644_12.png,0.1276583448839772,0.5265792608995044,0.2054976160147472,5.069199949502945
0,База,Карта различий + глобальная бинаризация Оцу,train_644_4.png,0.0130784708240098,0.4853333320391111,0.0254705247799832,4.656500183045864
0,База,Карта различий + глобальная бинаризация Оцу,train_644_6.png,0.0188365846756136,0.4084291184609738,0.0360122125941415,4.294499987736344
0,База,Карта различий + глобальная бинаризация Оцу,train_644_8.png,0.0139303482577823,0.5303030289638813,0.0271475165289491,5.956999957561493
0,База,Карта различий + глобальная бинаризация Оцу,train_644_9.png,0.0092188694513999,0.6902356879116643,0.0181947019523127,6.884099915623665
0,База,Карта различий + глобальная бинаризация Оцу,train_645_0.png,0.1181701581822073,0.3565991484509612,0.1775147990147982,5.315700080245733
0,База,Карта различий + глобальная бинаризация Оцу,train_645_1.png,0.2429444661098996,0.2649019144285085,0.2534480107157197,7.454999955371022
0,База,Карта различий + глобальная бинаризация Оцу,train_645_10.png,0.2127104880668129,0.3785942491724787,0.2723835148184161,7.268300047144294
0,База,Карта различий + глобальная бинаризация Оцу,train_645_11.png,0.0265126115424504,0.1856265799257397,0.0463980481158633,5.291200010105968
0,База,Карта различий + глобальная бинаризация Оцу,train_645_12.png,0.2041254384480328,0.2629662102742992,0.229839168379498,4.201399860903621
0,База,Карта различий + глобальная бинаризация Оцу,train_645_13.png,0.1886534518027499,0.3843297437444922,0.2530789971217863,4.429399967193604
0,База,Карта различий + глобальная бинаризация Оцу,train_645_14.png,0.3312984268452079,0.3128741850941117,0.3218223267795693,6.357600213959813
0,База,Карта различий + глобальная бинаризация Оцу,train_645_15.png,0.350460716031847,0.6893808370329034,0.4646874684116549,4.187999991700053
0,База,Карта различий + глобальная бинаризация Оцу,train_645_2.png,0.2336279370453275,0.3166413462477129,0.2688724677785777,4.073900170624256
0,База,Карта различий + глобальная бинаризация Оцу,train_645_3.png,0.08560547745065,0.264025990220664,0.1292904580787879,4.208000143989921
0,База,Карта различий + глобальная бинаризация Оцу,train_645_4.png,0.0604430534470906,0.1930345150409129,0.0920598185428313,4.2038001120090485
0,База,Карта различий + глобальная бинаризация Оцу,train_645_5.png,0.1827184295774814,0.2591994032658379,0.2143403013962327,4.192099906504154
