trial,source,precision,recall,f1,time_ms,f1_std,diff_weight,color_weight,difference_method,madi_window_size,madi_color_weight,use_filter,filter_sigma,gaussian_max_sigma,use_clahe,clahe_mode,clahe_clip_limit,clahe_tile_grid_size,use_radiometric_normalization,radiometric_method,radiometric_channels,radiometric_quantiles,use_canny,canny_percentile,edge_detector,edge_weight,edge_dilation_iterations,fusion_method,use_multiscale,multiscale_levels,multiscale_weight_decay,block_size,threshold_C,kimura_k,threshold_method,closing_kernel,opening_kernel,min_area,auto_area,fill_holes,min_rectangularity,use_vegetation_suppression,exg_threshold,exg_min_green,vegetation_kernel,vegetation_suppression_factor,use_building_prior,building_prior_strength,building_edge_kernel,shadow_percentile,shadow_dilation,use_building_filter,building_min_rectangularity,building_min_extent,building_min_edge_density,building_min_shadow_support,building_max_vegetation_overlap,building_min_support_score,building_max_aspect_ratio,building_shadow_ring_kernel,filter_sigma_mode
40,random_search,0.111738492745906,0.9201288269320106,0.1829195071104312,22.46164750346604,0.1597441744420615,0.4059773055402713,0.9237833160931802,madi,33,0.4792602369481235,False,,3.0,False,adaptive,2.0,"[16, 16]",True,histogram,luminance,128,False,90.0,canny,0.0,1,diff_only,True,2,0.5623585543856621,51,5.0,0.1874786124609542,kimura,7,1,87,False,True,,False,0.08,0.18,3,0.3464636957851166,False,0.5187409800619981,9,25.0,9,False,0.4678540385151704,0.2422198860309815,0.0363980520451711,0.0127945164208878,0.4154743904656494,0.532521383118553,8.0,9,auto
28,random_search,0.1100612262516466,0.9529857282393468,0.1819506606034665,36.77766499070761,0.1600959439379798,0.441623466625057,0.5614893944143846,madi,25,0.5878680820317852,True,2.1335980225237376,3.0,True,adaptive,1.4827441232533258,"[8, 8]",True,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,False,1,0.6556891480761657,51,12.0,0.3484105246805074,adaptive,5,5,51,False,False,,False,0.08,0.18,3,0.5437949181146696,False,0.224071737981427,9,25.0,9,True,0.2805682471943634,0.2805844253127997,0.0482139771275124,0.011229177157402,0.4015403725037185,0.2125449629963571,8.0,9,fixed
46,random_search,0.1345931716879781,0.4876764200902139,0.180934226855285,10.001959164704507,0.1385396302241055,0.5456287231956831,0.893031019536303,combined,21,0.6593015847442201,True,1.5416649950997003,3.0,True,adaptive,2.497641559334109,"[32, 32]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,True,1,0.6635360053095841,27,5.0,0.0658421304200331,otsu,3,1,17,False,True,,False,0.08,0.18,3,0.1674191751399578,False,0.4109030425863421,9,25.0,9,False,0.3004002545733613,0.1793727469642808,0.0444320389448214,0.0168162429791017,0.4386296181924654,0.4867199577528931,8.0,9,fixed
49,random_search,0.1092561719536963,0.9377304452231692,0.1803523407127214,12.238554173382,0.1587101658087961,0.3859801759685114,0.8902639618236188,combined,35,0.3570688175089955,True,2.7362787442969525,3.0,False,adaptive,2.0,"[16, 16]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,False,1,0.6556891480761657,17,9.0,0.2257313975464167,adaptive,3,3,39,False,True,,False,0.08,0.18,3,0.25704614466836,False,0.2327940638563359,9,25.0,9,True,0.3768202102816187,0.1852276598346159,0.0153876809969338,0.0174850739519409,0.3621390212590577,0.3262655402813887,8.0,9,fixed
1,random_search,0.1090767699472236,0.9405320406238163,0.1801823693478666,35.92505249350021,0.1597002197400082,0.7878111758183779,0.761139701990353,madi,47,0.0960852245066594,True,2.646494799778456,3.0,False,adaptive,2.0,"[16, 16]",True,histogram,bgr,32,False,90.0,canny,0.0,1,diff_only,True,2,0.8207059955394407,47,14.0,0.296828483981249,adaptive,5,3,90,False,True,,True,0.08,0.18,3,0.1819086280520876,False,0.4810524687970329,9,25.0,9,True,0.4774263220256122,0.2209051936259736,0.0488279209757961,0.0180761801837995,0.5224342239758166,0.2681235477481887,8.0,9,fixed
22,random_search,0.1083111771101882,0.943546444130241,0.1794223703034553,29.54422415738615,0.1588109925969351,0.3753364869066201,0.1809266522308681,combined,53,0.0334868167307091,False,,3.0,False,adaptive,2.0,"[16, 16]",True,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,True,1,0.6460790169606345,55,13.0,0.1979869927552,adaptive,3,1,54,False,True,,False,0.08,0.18,3,0.4687943502392295,False,0.4096596200537097,9,25.0,9,True,0.4788709057118587,0.1616216963442894,0.0246643353973044,0.0117114938347102,0.3684597691540641,0.4955676056505153,8.0,9,auto
56,random_search,0.107920654916938,0.901986514579082,0.1762339353694786,22.59079748182557,0.1564878513668552,0.7336515202505907,0.7078438944014478,combined,37,0.7319231552759222,False,,3.0,True,adaptive,1.3787269833457076,"[16, 16]",True,quantile,luminance,32,False,90.0,canny,0.0,1,diff_only,False,1,0.6556891480761657,29,20.0,0.0880805770372759,kimura,7,5,60,False,False,,True,0.08,0.18,3,0.5994607881602568,False,0.5387215274586845,9,25.0,9,True,0.3948815168415351,0.241280771580369,0.0254536582889272,0.0085087825323079,0.387027394589551,0.2314136323379183,8.0,9,auto
13,random_search,0.116498323774975,0.6115433769628301,0.1733695952265824,42.01131416096663,0.1425761986649598,0.7744289633576702,0.916348019538178,madi,35,0.2462709037535166,False,,3.0,True,fixed,1.758928159453858,"[8, 8]",True,histogram,bgr,32,True,95.18272586528347,sobel,0.4021959139735387,0,diff_only,False,1,0.6556891480761657,47,14.0,0.1364466842547385,hybrid,3,3,7,False,True,,False,0.08,0.18,3,0.580359534162947,False,0.2028411349206175,9,25.0,9,False,0.2785287244689803,0.2951431256542853,0.0133797287529408,0.0188469168086112,0.2980927755132307,0.5356080860681782,8.0,9,auto
59,random_search,0.1206766712341427,0.5765183673230024,0.1730650791155275,15.290364169050008,0.1397929887336696,0.5108830313572806,0.0668257547014629,combined,45,0.1709758291673868,False,,3.0,True,adaptive,1.972561225341164,"[32, 32]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,False,1,0.6556891480761657,41,4.0,0.3444161303759004,hybrid,3,3,99,False,False,,True,0.08,0.18,3,0.1801654092871108,True,0.4788854184375227,9,25.0,9,False,0.4845271142721836,0.2356339727017746,0.0355174697698658,0.0174121220683389,0.4708729050051606,0.3216857721925661,8.0,9,auto
36,random_search,0.1068802541705205,0.813503536562773,0.1726605280081923,11.990521663877493,0.1524003907673792,0.3494622525524111,0.7535045630002579,combined,39,0.2085850176536159,True,2.887245979639519,3.0,False,adaptive,2.0,"[16, 16]",False,quantile,bgr,64,False,90.0,canny,0.0,1,diff_only,True,1,0.5243064539484349,37,4.0,0.1278319519563602,adaptive,5,1,9,False,True,,True,0.08,0.18,3,0.6296661738178042,True,0.3482026226514474,9,25.0,9,False,0.2832076222088848,0.2004872581099174,0.0217909579829817,0.0157664639469302,0.5568487790426168,0.5155746487482535,8.0,9,fixed
