method,precision,recall,f1,f1_std,time_ms
Абс. разность + Оцу,0.13123692077226115,0.4302804474564475,0.17006602533109785,0.16982596265503114,0.9940175602013315
Лог-отношение + Оцу,0.11960977806175452,0.19306768221229167,0.09998301979465278,0.14436657012385729,1.3263565027667163
CVA + Оцу,0.13406986253094194,0.42497599226435395,0.17199475704349382,0.17368935443496,1.59983435849162
Каскад CLAHE+фильтр+Кэнни,0.11411576156545002,0.9053572792215474,0.1793395406642311,0.15961949240605966,4.926484610789524
Пиксельный адаптивный алгоритм,0.14658346918308096,0.6158403736673391,0.20215442322938104,0.19551057739317768,36.96179717843064
