stage,method,description,precision,recall,f1,delta_f1,delta_f1_percent,time_ms,f1_std
0,База,Карта различий + глобальная бинаризация Оцу,0.1466059927211371,0.4543437105461088,0.1842148685139653,0.0,0.0,6.119447002420202,0.2018503876307358
1,+ многоуровневый анализ,Gaussian pyramid для нескольких масштабов,0.1522843872842493,0.4603661310674136,0.1899590833365191,0.0057442148225537,3.118214544185001,10.393240008270368,0.205967359761707
2,+ подавление растительности,Excess Green для стабильной растительности,0.1516992656870865,0.4637067190244981,0.1895144609749265,-0.0004446223615926,-0.2340621747500005,13.348386994330212,0.2055775657878468
3,+ prior застройки,Handcrafted-поддержка зданий по RGB/контурам/теням,0.152700196679144,0.4637504619717212,0.1908486839273691,0.0013342229524426,0.7040217118941501,29.48956149048172,0.205492054960643
4,+ адаптивная бинаризация,Гибрид Оцу и локального порога,0.1496273432957301,0.4379518822603518,0.1841388285509196,-0.0067098553764495,-3.5157986098573817,28.92541501671076,0.1974250446002559
5,+ морфология и CCA,Замыкание/размыкание и фильтр связных компонент,0.1574124495032119,0.6400082905331892,0.2147599230961344,0.0306210945452148,16.629352313245146,18.45823451294564,0.2169927063451611
6,+ building-support фильтр,"Фильтр компонентов по форме, контурам, теням и растительности",0.1590991652210748,0.627825006967721,0.2155439696907316,0.0007840465945972,0.3650804970004795,25.417574000312012,0.2185477170604809
7,Итоговый алгоритм,Полная конфигурация из config.yaml,0.1590991652210748,0.627825006967721,0.2155439696907316,0.0,0.0,26.22422549291514,0.2185477170604809
